document_id,model,label,human_explicit,llm_explicit,semantic_similarity,supporting_span_f1,human_span,llm_span,match_status,semantic_interpretation,bertscore_precision,bertscore_recall,bertscore_f1,bertscore_interpretation
STORAL_007,gemma,MC-IMP,staying loyal through temptations is rewarded,Faithfulness and integrity are eventually rewarded.,0.731670558,1,Then he praised his dog and gave him two more pieces of meat to eat as a reward,Then he praised his dog and gave him two more pieces of meat to eat as a reward.,matched,strong alignment,0.552181363,0.306089371,0.427239448,weak but meaningful alignment
STORAL_007,gemma,MC-IMP,true loyalty is stronger than temptation,,,,"""I am a faithful house-dog. you cannot fool me and harm my master.""",,missed_by_llm,no match,,,,no match
STORAL_007,gemma,P-IMP,you are being bribed with something you love but you do not let that falter your loyalty easily,Loyalty involves prioritizing the safety of others over personal gain.,0.623101234,0.170212766,"Then he threw the pieces of meat at him. On this act, the dog said, ""If you think that by throwing this piece of meat you can fool me, you are mistaken."" The thief throws another piece of meat at the dog. The dog doesn't pick up the piece of meat",I am a faithful house-dog. you cannot fool me and harm my master.,matched,moderate alignment,0.239127263,0.061271425,0.150022849,poor alignment
STORAL_007,mistral,MC-IMP,staying loyal through temptations is rewarded,,,,Then he praised his dog and gave him two more pieces of meat to eat as a reward,,missed_by_llm,no match,,,,no match
STORAL_007,mistral,MC-IMP,true loyalty is stronger than temptation,Loyalty and vigilance protect against harm.,0.607836008,1,"""I am a faithful house-dog. you cannot fool me and harm my master.""",I am a faithful house-dog. you cannot fool me and harm my master.,matched,moderate alignment,0.430921495,0.296249807,0.363762468,weak but meaningful alignment
STORAL_007,mistral,P-IMP,you are being bribed with something you love but you do not let that falter your loyalty easily,A faithful dog will not be tempted by bribes.,0.514687419,0.541666667,"Then he threw the pieces of meat at him. On this act, the dog said, ""If you think that by throwing this piece of meat you can fool me, you are mistaken."" The thief throws another piece of meat at the dog. The dog doesn't pick up the piece of meat","The thief throws another piece of meat at the dog. The dog doesn't pick up the piece of meat and replies,",matched,moderate alignment,0.386860996,0.156968728,0.27055949,poor alignment
STORAL_007,qwen,C-IMP,,Steadfast loyalty and protective behavior deserve recognition and reward.,,,,,extra_llm_annotation,no match,,,,no match
STORAL_007,qwen,MC-IMP,staying loyal through temptations is rewarded,,,,Then he praised his dog and gave him two more pieces of meat to eat as a reward,,missed_by_llm,no match,,,,no match
STORAL_007,qwen,MC-IMP,true loyalty is stronger than temptation,True loyalty and dedication cannot be bought or compromised by bribes.,0.643826604,1,"""I am a faithful house-dog. you cannot fool me and harm my master.""",I am a faithful house-dog. you cannot fool me and harm my master.,matched,moderate alignment,0.328189939,0.310366243,0.320368767,poor alignment
STORAL_007,qwen,P-IMP,you are being bribed with something you love but you do not let that falter your loyalty easily,Temptations are often used to undermine someone's commitment or duty.,0.522343934,0.217391304,"Then he threw the pieces of meat at him. On this act, the dog said, ""If you think that by throwing this piece of meat you can fool me, you are mistaken."" The thief throws another piece of meat at the dog. The dog doesn't pick up the piece of meat",He brought several slices of meat with himself to trick the house-dog.,matched,moderate alignment,0.275216013,0.15909709,0.21777238,poor alignment
STORAL_008,gemma,MC-IMP,flattery and pride can get you in trouble,Intelligence and quick thinking can overcome physical strength.,0.150023848,0.84,"In the mean time, the shepherd and the dogs who were in search of the missing lamb heard the sound. They came running and caught hold of the wolf.","The wolf was pleased by the flattery and started to play louder. In the mean time, the shepherd and the dogs who were in search of the missing lamb heard the sound. They came running and caught hold of the wolf.",matched,poor alignment,0.268467546,0.250648379,0.260745138,poor alignment
STORAL_008,gemma,P-IMP,"because of those disingenuous compliments, you feel flattered",,,,The wolf was pleased by the flattery and started to play louder,,missed_by_llm,no match,,,,no match
STORAL_008,gemma,P-IMP,you get some compliments that might not be genuine,Loud noises can attract the attention of others.,0.189405993,0.285714286,you play far better than my shepherd,"will you play a bit louder, please?",matched,poor alignment,0.366081059,0.240711555,0.303776503,poor alignment
STORAL_008,mistral,MC-IMP,flattery and pride can get you in trouble,Using clever tactics can help overcome a stronger adversary.,0.269396722,0.162162162,"In the mean time, the shepherd and the dogs who were in search of the missing lamb heard the sound. They came running and caught hold of the wolf.","The lamb replied, ""I am fond of music. before I die, I wish to hear you play the flute.""",matched,poor alignment,0.41072312,0.245629027,0.327970922,poor alignment
STORAL_008,mistral,P-IMP,"because of those disingenuous compliments, you feel flattered",,,,,,,,,,,no match
STORAL_008,mistral,P-IMP,"because of those disingenuous compliments, you feel flattered",Flattery can distract and overconfidence can lead to downfall.,0.505343616,1,The wolf was pleased by the flattery and started to play louder,The wolf was pleased by the flattery and started to play louder.,matched,moderate alignment,,,,
STORAL_008,mistral,P-IMP,you get some compliments that might not be genuine,,,,you play far better than my shepherd,,missed_by_llm,no match,,,,
STORAL_008,mistral,P-IMP,you get some compliments that might not be genuine,Flattery can distract and overconfidence can lead to downfall.,,,,,,,0.293108642,0.275906056,0.285655409,poor alignment
STORAL_008,qwen,MC-IMP,flattery and pride can get you in trouble,Quick thinking and cleverness can overcome physical strength and save one from danger.,0.151601851,0.763636364,"In the mean time, the shepherd and the dogs who were in search of the missing lamb heard the sound. They came running and caught hold of the wolf.","The wolf was pleased by the flattery and started to play louder. In the mean time, the shepherd and the dogs who were in search of the missing lamb heard the sound. They came running and caught hold of the wolf. The lamb happily trotted away to his flock.",matched,poor alignment,0.215636209,0.287332416,0.252454638,poor alignment
STORAL_008,qwen,P-IMP,"because of those disingenuous compliments, you feel flattered",,,,,,,,,,,no match
STORAL_008,qwen,P-IMP,"because of those disingenuous compliments, you feel flattered",Pride and vanity can make powerful individuals vulnerable to manipulation.,0.352976799,1,The wolf was pleased by the flattery and started to play louder,The wolf was pleased by the flattery and started to play louder.,matched,weak but meaningful alignment,,,,
STORAL_008,qwen,P-IMP,you get some compliments that might not be genuine,,,,you play far better than my shepherd,,missed_by_llm,no match,,,,
STORAL_008,qwen,P-IMP,you get some compliments that might not be genuine,Pride and vanity can make powerful individuals vulnerable to manipulation.,,,,,,,0.283844322,0.25688383,0.271514088,poor alignment
STORAL_010,gemma,MC-IMP,not listening to your gut and acting beyond your limits might get you in trouble,Associating with those who are fundamentally different in nature can be dangerous.,0.307448626,0.84,"They had not gone ten paces before the earthen pot cracked, and at the next jolt he flew into a thousand pieces","The earthen pot could not survive that sort of companionship very long. They had not gone ten paces before the earthen pot cracked, and at the next jolt he flew into a thousand pieces.",matched,poor alignment,0.263200581,0.314716697,0.289988011,poor alignment
STORAL_010,gemma,P-IMP,you are aware of your limits and avoid exposing yourself to situations that harm you,External protection cannot always compensate for inherent fragility.,0.314644128,0.137931034,"the earthen pot excused himself, saying that it would be wiser for him to stay in the corner by the fire. ""It would take so little to break me,"" He said. ""You know how fragile I am. the least shock is sure to shatter me!""""",I shall take very good care of you. if we should happen to meet anything hard I will step between and save you.,matched,poor alignment,0.191942453,0.122813456,0.158511102,poor alignment
STORAL_010,gemma,P-IMP,you are convinced by someone who thinks their intentions are helpful and disregard your limits,,,,"Don't let that keep you at home,"" Urged the brass pot. ""I shall take very good care of you. if we should happen to meet anything hard I will step between and save you.""So the earthen pot at last consented,",,missed_by_llm,no match,,,,no match
STORAL_010,mistral,C-IMP,,You should be aware of your own limitations.,,,,,extra_llm_annotation,no match,,,,no match
STORAL_010,mistral,MC-IMP,not listening to your gut and acting beyond your limits might get you in trouble,Overconfidence in protection can lead to unexpected failure.,0.43241477,0.84,"They had not gone ten paces before the earthen pot cracked, and at the next jolt he flew into a thousand pieces","The earthen pot could not survive that sort of companionship very long. They had not gone ten paces before the earthen pot cracked, and at the next jolt he flew into a thousand pieces.",matched,weak but meaningful alignment,0.385131508,0.275922686,0.331047326,poor alignment
STORAL_010,mistral,P-IMP,you are aware of your limits and avoid exposing yourself to situations that harm you,You can trust someone else to protect you.,0.466430366,0.137931034,"the earthen pot excused himself, saying that it would be wiser for him to stay in the corner by the fire. ""It would take so little to break me,"" He said. ""You know how fragile I am. the least shock is sure to shatter me!""""",I shall take very good care of you. if we should happen to meet anything hard I will step between and save you.,matched,weak but meaningful alignment,0.37263,0.280499518,0.327254355,poor alignment
STORAL_010,mistral,P-IMP,you are convinced by someone who thinks their intentions are helpful and disregard your limits,,,,"Don't let that keep you at home,"" Urged the brass pot. ""I shall take very good care of you. if we should happen to meet anything hard I will step between and save you.""So the earthen pot at last consented,",,missed_by_llm,no match,,,,no match
STORAL_010,qwen,MC-IMP,not listening to your gut and acting beyond your limits might get you in trouble,"Forcing incompatible individuals into close partnerships often leads to harm, regardless of good intentions.",0.416986972,0.84,"They had not gone ten paces before the earthen pot cracked, and at the next jolt he flew into a thousand pieces","The earthen pot could not survive that sort of companionship very long. They had not gone ten paces before the earthen pot cracked, and at the next jolt he flew into a thousand pieces.",matched,weak but meaningful alignment,0.28789261,0.26793772,0.279068947,poor alignment
STORAL_010,qwen,P-IMP,you are aware of your limits and avoid exposing yourself to situations that harm you,,,,,,missed_by_llm,no match,,,,no match
STORAL_010,qwen,P-IMP,you are convinced by someone who thinks their intentions are helpful and disregard your limits,,,,,,missed_by_llm,no match,,,,no match
STORAL_011,gemma,MC-IMP,you can overcome your problems by facing them with courage,Facing your fears with courage is the most effective way to overcome them.,0.724297762,1,"Swami ji turned back to boldly face those monkeys. As soon as swami ji did that, those monkey fell back and left","Swami ji turned back to boldly face those monkeys. As soon as swami ji did that, those monkey fell back and left.",matched,strong alignment,0.604555666,0.678846598,0.642037868,moderate semantic alignment
STORAL_011,gemma,P-IMP,you are trying to escape your problems,,,,Swami ji began to run and monkey started chasing him,,missed_by_llm,no match,,,,no match
STORAL_011,gemma,P-IMP,you realize that trying to run away doesn't solve them,Running away from a threat often increases the aggression of the attacker.,0.555069804,0.173913043,"A time came when swami ji felt that it would be impossible to escape, just then an old sanyasi called out and said, ""Face them..!!""Those words brought swami vivekananda to senses and he stopped running","Faster swami ji ran, bolder monkey got and tried to catch him and bite him",matched,moderate alignment,0.447282016,0.2569758,0.35146749,weak but meaningful alignment
STORAL_011,mistral,MC-IMP,you can overcome your problems by facing them with courage,Facing your fears can make them disappear.,0.612628222,0.827586207,"Swami ji turned back to boldly face those monkeys. As soon as swami ji did that, those monkey fell back and left","As soon as swami ji did that, those monkey fell back and left.",matched,moderate alignment,0.629293323,0.512783229,0.571117282,moderate semantic alignment
STORAL_011,mistral,P-IMP,you are trying to escape your problems,,,,,,missed_by_llm,no match,,,,no match
STORAL_011,mistral,P-IMP,you realize that trying to run away doesn't solve them,,,,,,missed_by_llm,no match,,,,no match
STORAL_011,qwen,MC-IMP,you can overcome your problems by facing them with courage,Confronting challenges directly is more effective than running away from them.,0.586673975,0.684210526,"Swami ji turned back to boldly face those monkeys. As soon as swami ji did that, those monkey fell back and left","Faster swami ji ran, bolder monkey got and tried to catch him and bite him... As soon as swami ji did that, those monkey fell back and left.",matched,moderate alignment,0.372412801,0.398033649,0.386191785,weak but meaningful alignment
STORAL_011,qwen,P-IMP,you are trying to escape your problems,,,,,,missed_by_llm,no match,,,,no match
STORAL_011,qwen,P-IMP,you realize that trying to run away doesn't solve them,,,,,,missed_by_llm,no match,,,,no match
STORAL_012,gemma,MC-IMP,the effort of trying to achieve perfection can prevent you from enjoying life,Spending too much time on preparation can prevent the actual goal from being achieved.,0.500193834,0.867924528,"I can't tell you who won, because after so much time spent searching, the animals had tired themselves out, and everyone who started playing was soon lying asleep on the court!","after so much time spent searching, the animals had tired themselves out, and everyone who started playing was soon lying asleep on the court!",matched,moderate alignment,0.48757261,0.45181495,0.470495433,weak but meaningful alignment
STORAL_012,gemma,P-IMP,you will go through trial and error before finding a perfect solution,Living creatures should not be used as toys.,-0.069433719,0.24,"just when they were about to start, the snails refused to be treated like tennis balls. So everyone went running, looking for some tennis balls for their tournament. One animal brought a stone, but they could see that it didn't roll. Another brought an orange; the orange rolled but it didn't bounce. Someone else brought a frog. There was no doubt that the frog bounced, but unfortunately it didn't roll. Another animal came with a football, but that was too big. Then someone found a smaller ball, but it was black, and no one could see it very well. Finally, they found a small tennis ball.",the snails refused to be treated like tennis balls,matched,poor alignment,0.23910886,0.177192912,0.209250227,poor alignment
STORAL_012,mistral,MC-IMP,the effort of trying to achieve perfection can prevent you from enjoying life,It is important to respect the boundaries and preferences of others.,0.31854564,0.125,"I can't tell you who won, because after so much time spent searching, the animals had tired themselves out, and everyone who started playing was soon lying asleep on the court!","the snails refused to be treated like tennis balls. So everyone went running, looking for some tennis balls for their tournament.",matched,poor alignment,0.331121445,0.19891654,0.265371561,poor alignment
STORAL_012,mistral,P-IMP,you will go through trial and error before finding a perfect solution,,,,,,missed_by_llm,no match,,,,no match
