layer,gamma_type,alpha,beta,gamma,agreement_type,document,task_type,annotators,Luiza_annotations,Sara_annotations,human_annotator,model,human_annotations,model_annotations,model_a,model_b,model_a_annotations,model_b_annotations,Mistral_annotations,Qwen_annotations,Gemma_annotations
argumentation,standard,1,2,0.87825596,human-human,TED_006,argumentation,Luiza vs Sara,25,24,,,,,,,,,,,
argumentation,soft,1,2,0.89712405,human-human,TED_006,argumentation,Luiza vs Sara,25,24,,,,,,,,,,,
argumentation,standard,1,1,0.85082763,human-human,TED_007,argumentation,Luiza vs Sara,39,38,,,,,,,,,,,
argumentation,soft,1,1,0.8456389,human-human,TED_007,argumentation,Luiza vs Sara,39,38,,,,,,,,,,,
argumentation,standard,1,2,0.75228316,human-human,TED_007,argumentation,Luiza vs Sara,39,38,,,,,,,,,,,
argumentation,soft,1,2,0.74251187,human-human,TED_007,argumentation,Luiza vs Sara,39,38,,,,,,,,,,,
argumentation,standard,1,1,0.9548788,human-human,TED_008,argumentation,Luiza vs Sara,30,28,,,,,,,,,,,
argumentation,soft,1,1,0.95440173,human-human,TED_008,argumentation,Luiza vs Sara,30,28,,,,,,,,,,,
argumentation,standard,1,2,0.9562471,human-human,TED_008,argumentation,Luiza vs Sara,30,28,,,,,,,,,,,
argumentation,soft,1,2,0.95575404,human-human,TED_008,argumentation,Luiza vs Sara,30,28,,,,,,,,,,,
argumentation,standard,1,1,0.85959136,human-human,TED_010,argumentation,Luiza vs Sara,18,15,,,,,,,,,,,
argumentation,soft,1,1,0.8592083,human-human,TED_010,argumentation,Luiza vs Sara,18,15,,,,,,,,,,,
argumentation,standard,1,2,0.8299191,human-human,TED_010,argumentation,Luiza vs Sara,18,15,,,,,,,,,,,
argumentation,soft,1,2,0.8294841,human-human,TED_010,argumentation,Luiza vs Sara,18,15,,,,,,,,,,,
argumentation,standard,1,1,0.9725695,human-human,TED_011,argumentation,Luiza vs Sara,21,20,,,,,,,,,,,
argumentation,soft,1,1,0.9724744,human-human,TED_011,argumentation,Luiza vs Sara,21,20,,,,,,,,,,,
argumentation,standard,1,2,0.97338057,human-human,TED_011,argumentation,Luiza vs Sara,21,20,,,,,,,,,,,
argumentation,soft,1,2,0.97329795,human-human,TED_011,argumentation,Luiza vs Sara,21,20,,,,,,,,,,,
argumentation,standard,1,1,0.98147166,human-human,TED_012,argumentation,Luiza vs Sara,35,34,,,,,,,,,,,
argumentation,soft,1,1,0.9951155,human-human,TED_012,argumentation,Luiza vs Sara,35,34,,,,,,,,,,,
argumentation,standard,1,2,0.9823042,human-human,TED_012,argumentation,Luiza vs Sara,35,34,,,,,,,,,,,
argumentation,soft,1,2,0.9953334,human-human,TED_012,argumentation,Luiza vs Sara,35,34,,,,,,,,,,,
argumentation,standard,1,1,0.71963835,human-human,TED_015,argumentation,Luiza vs Sara,60,44,,,,,,,,,,,
argumentation,soft,1,1,0.7149889,human-human,TED_015,argumentation,Luiza vs Sara,60,44,,,,,,,,,,,
argumentation,standard,1,2,0.6847736,human-human,TED_015,argumentation,Luiza vs Sara,60,44,,,,,,,,,,,
argumentation,soft,1,2,0.678832,human-human,TED_015,argumentation,Luiza vs Sara,60,44,,,,,,,,,,,
argumentation,standard,1,1,0.76994926,human-human,TED_016,argumentation,Luiza vs Sara,59,44,,,,,,,,,,,
argumentation,soft,1,1,0.76627314,human-human,TED_016,argumentation,Luiza vs Sara,59,44,,,,,,,,,,,
argumentation,standard,1,2,0.73217225,human-human,TED_016,argumentation,Luiza vs Sara,59,44,,,,,,,,,,,
argumentation,soft,1,2,0.72753716,human-human,TED_016,argumentation,Luiza vs Sara,59,44,,,,,,,,,,,
argumentation,standard,1,1,0.9021689,human-human,TED_017,argumentation,Luiza vs Sara,53,51,,,,,,,,,,,
argumentation,soft,1,1,0.9094565,human-human,TED_017,argumentation,Luiza vs Sara,53,51,,,,,,,,,,,
argumentation,standard,1,2,0.9053276,human-human,TED_017,argumentation,Luiza vs Sara,53,51,,,,,,,,,,,
argumentation,soft,1,2,0.91229206,human-human,TED_017,argumentation,Luiza vs Sara,53,51,,,,,,,,,,,
argumentation,standard,1,1,0.95543414,human-human,TED_018,argumentation,Luiza vs Sara,57,58,,,,,,,,,,,
argumentation,soft,1,1,0.9608417,human-human,TED_018,argumentation,Luiza vs Sara,57,58,,,,,,,,,,,
argumentation,standard,1,2,0.94699097,human-human,TED_018,argumentation,Luiza vs Sara,57,58,,,,,,,,,,,
argumentation,soft,1,2,0.95203424,human-human,TED_018,argumentation,Luiza vs Sara,57,58,,,,,,,,,,,
argumentation,standard,1,1,0.91036004,human-human,TED_019,argumentation,Luiza vs Sara,65,63,,,,,,,,,,,
argumentation,soft,1,1,0.90868336,human-human,TED_019,argumentation,Luiza vs Sara,65,63,,,,,,,,,,,
argumentation,standard,1,2,0.9161899,human-human,TED_019,argumentation,Luiza vs Sara,65,63,,,,,,,,,,,
argumentation,soft,1,2,0.9144485,human-human,TED_019,argumentation,Luiza vs Sara,65,63,,,,,,,,,,,
argumentation,standard,1,1,0.94259065,human-human,TED_020,argumentation,Luiza vs Sara,98,100,,,,,,,,,,,
argumentation,soft,1,1,0.9456134,human-human,TED_020,argumentation,Luiza vs Sara,98,100,,,,,,,,,,,
argumentation,standard,1,2,0.9245329,human-human,TED_020,argumentation,Luiza vs Sara,98,100,,,,,,,,,,,
argumentation,soft,1,2,0.92622536,human-human,TED_020,argumentation,Luiza vs Sara,98,100,,,,,,,,,,,
argumentation,standard,1,1,0.19203049,model-human,TED_001,argumentation,Mistral vs Luiza,,,Luiza,Mistral,10,3,,,,,,,
argumentation,soft,1,1,0.19203049,model-human,TED_001,argumentation,Mistral vs Luiza,,,Luiza,Mistral,10,3,,,,,,,
argumentation,standard,1,2,0.1269911,model-human,TED_001,argumentation,Mistral vs Luiza,,,Luiza,Mistral,10,3,,,,,,,
argumentation,soft,1,2,0.1269911,model-human,TED_001,argumentation,Mistral vs Luiza,,,Luiza,Mistral,10,3,,,,,,,
argumentation,standard,1,1,0.11497575,model-human,TED_001,argumentation,Mistral vs Sara,,,Sara,Mistral,10,3,,,,,,,
argumentation,soft,1,1,0.11497575,model-human,TED_001,argumentation,Mistral vs Sara,,,Sara,Mistral,10,3,,,,,,,
argumentation,standard,1,2,0.036730528,model-human,TED_001,argumentation,Mistral vs Sara,,,Sara,Mistral,10,3,,,,,,,
argumentation,soft,1,2,0.036730528,model-human,TED_001,argumentation,Mistral vs Sara,,,Sara,Mistral,10,3,,,,,,,
argumentation,standard,1,1,0.34266424,model-human,TED_001,argumentation,Qwen vs Luiza,,,Luiza,Qwen,10,3,,,,,,,
argumentation,soft,1,1,0.34266424,model-human,TED_001,argumentation,Qwen vs Luiza,,,Luiza,Qwen,10,3,,,,,,,
argumentation,standard,1,2,0.36701167,model-human,TED_001,argumentation,Qwen vs Luiza,,,Luiza,Qwen,10,3,,,,,,,
argumentation,soft,1,2,0.36701167,model-human,TED_001,argumentation,Qwen vs Luiza,,,Luiza,Qwen,10,3,,,,,,,
argumentation,standard,1,1,0.33521312,model-human,TED_001,argumentation,Qwen vs Sara,,,Sara,Qwen,10,3,,,,,,,
argumentation,soft,1,1,0.33521312,model-human,TED_001,argumentation,Qwen vs Sara,,,Sara,Qwen,10,3,,,,,,,
argumentation,standard,1,2,0.355111,model-human,TED_001,argumentation,Qwen vs Sara,,,Sara,Qwen,10,3,,,,,,,
argumentation,soft,1,2,0.355111,model-human,TED_001,argumentation,Qwen vs Sara,,,Sara,Qwen,10,3,,,,,,,
argumentation,standard,1,1,0.36686677,model-human,TED_001,argumentation,Gemma vs Luiza,,,Luiza,Gemma,10,4,,,,,,,
argumentation,soft,1,1,0.36665916,model-human,TED_001,argumentation,Gemma vs Luiza,,,Luiza,Gemma,10,4,,,,,,,
argumentation,standard,1,2,0.37919557,model-human,TED_001,argumentation,Gemma vs Luiza,,,Luiza,Gemma,10,4,,,,,,,
argumentation,soft,1,2,0.37899595,model-human,TED_001,argumentation,Gemma vs Luiza,,,Luiza,Gemma,10,4,,,,,,,
argumentation,standard,1,1,0.363908,model-human,TED_001,argumentation,Gemma vs Sara,,,Sara,Gemma,10,4,,,,,,,
argumentation,soft,1,1,0.36347663,model-human,TED_001,argumentation,Gemma vs Sara,,,Sara,Gemma,10,4,,,,,,,
argumentation,standard,1,2,0.37330526,model-human,TED_001,argumentation,Gemma vs Sara,,,Sara,Gemma,10,4,,,,,,,
argumentation,soft,1,2,0.37288654,model-human,TED_001,argumentation,Gemma vs Sara,,,Sara,Gemma,10,4,,,,,,,
argumentation,standard,1,1,0.27527404,model-human,TED_002,argumentation,Mistral vs Luiza,,,Luiza,Mistral,24,19,,,,,,,
argumentation,soft,1,1,0.2812826,model-human,TED_002,argumentation,Mistral vs Luiza,,,Luiza,Mistral,24,19,,,,,,,
argumentation,standard,1,2,0.11955702,model-human,TED_002,argumentation,Mistral vs Luiza,,,Luiza,Mistral,24,19,,,,,,,
argumentation,soft,1,2,0.11377305,model-human,TED_002,argumentation,Mistral vs Luiza,,,Luiza,Mistral,24,19,,,,,,,
argumentation,standard,1,1,0.20659357,model-human,TED_002,argumentation,Mistral vs Sara,,,Sara,Mistral,22,19,,,,,,,
argumentation,soft,1,1,0.20734483,model-human,TED_002,argumentation,Mistral vs Sara,,,Sara,Mistral,22,19,,,,,,,
argumentation,standard,1,2,-0.028638482,model-human,TED_002,argumentation,Mistral vs Sara,,,Sara,Mistral,22,19,,,,,,,
argumentation,soft,1,2,-0.039363027,model-human,TED_002,argumentation,Mistral vs Sara,,,Sara,Mistral,22,19,,,,,,,
argumentation,standard,1,1,0.2667219,model-human,TED_002,argumentation,Qwen vs Luiza,,,Luiza,Qwen,24,15,,,,,,,
argumentation,soft,1,1,0.26561654,model-human,TED_002,argumentation,Qwen vs Luiza,,,Luiza,Qwen,24,15,,,,,,,
argumentation,standard,1,2,0.23673701,model-human,TED_002,argumentation,Qwen vs Luiza,,,Luiza,Qwen,24,15,,,,,,,
argumentation,soft,1,2,0.20673507,model-human,TED_002,argumentation,Qwen vs Luiza,,,Luiza,Qwen,24,15,,,,,,,
argumentation,standard,1,1,0.30704772,model-human,TED_002,argumentation,Qwen vs Sara,,,Sara,Qwen,22,15,,,,,,,
argumentation,soft,1,1,0.30964,model-human,TED_002,argumentation,Qwen vs Sara,,,Sara,Qwen,22,15,,,,,,,
argumentation,standard,1,2,0.263861,model-human,TED_002,argumentation,Qwen vs Sara,,,Sara,Qwen,22,15,,,,,,,
argumentation,soft,1,2,0.2645936,model-human,TED_002,argumentation,Qwen vs Sara,,,Sara,Qwen,22,15,,,,,,,
argumentation,standard,1,1,0.47783548,model-human,TED_002,argumentation,Gemma vs Luiza,,,Luiza,Gemma,24,18,,,,,,,
argumentation,soft,1,1,0.46253258,model-human,TED_002,argumentation,Gemma vs Luiza,,,Luiza,Gemma,24,18,,,,,,,
argumentation,standard,1,2,0.5108278,model-human,TED_002,argumentation,Gemma vs Luiza,,,Luiza,Gemma,24,18,,,,,,,
argumentation,soft,1,2,0.49664742,model-human,TED_002,argumentation,Gemma vs Luiza,,,Luiza,Gemma,24,18,,,,,,,
argumentation,standard,1,1,0.46271783,model-human,TED_002,argumentation,Gemma vs Sara,,,Sara,Gemma,22,18,,,,,,,
argumentation,soft,1,1,0.44455892,model-human,TED_002,argumentation,Gemma vs Sara,,,Sara,Gemma,22,18,,,,,,,
argumentation,standard,1,2,0.4556402,model-human,TED_002,argumentation,Gemma vs Sara,,,Sara,Gemma,22,18,,,,,,,
argumentation,soft,1,2,0.437088,model-human,TED_002,argumentation,Gemma vs Sara,,,Sara,Gemma,22,18,,,,,,,
argumentation,standard,1,1,0.20907468,model-human,TED_004,argumentation,Mistral vs Luiza,,,Luiza,Mistral,36,11,,,,,,,
argumentation,soft,1,1,0.29661584,model-human,TED_004,argumentation,Mistral vs Luiza,,,Luiza,Mistral,36,11,,,,,,,
argumentation,standard,1,2,0.23139334,model-human,TED_004,argumentation,Mistral vs Luiza,,,Luiza,Mistral,36,11,,,,,,,
argumentation,soft,1,2,0.30168754,model-human,TED_004,argumentation,Mistral vs Luiza,,,Luiza,Mistral,36,11,,,,,,,
argumentation,standard,1,1,0.24648124,model-human,TED_004,argumentation,Mistral vs Sara,,,Sara,Mistral,33,11,,,,,,,
argumentation,soft,1,1,0.3137815,model-human,TED_004,argumentation,Mistral vs Sara,,,Sara,Mistral,33,11,,,,,,,
argumentation,standard,1,2,0.27271175,model-human,TED_004,argumentation,Mistral vs Sara,,,Sara,Mistral,33,11,,,,,,,
argumentation,soft,1,2,0.3248117,model-human,TED_004,argumentation,Mistral vs Sara,,,Sara,Mistral,33,11,,,,,,,
argumentation,standard,1,1,0.13709903,model-human,TED_004,argumentation,Qwen vs Luiza,,,Luiza,Qwen,36,6,,,,,,,
argumentation,soft,1,1,0.15370816,model-human,TED_004,argumentation,Qwen vs Luiza,,,Luiza,Qwen,36,6,,,,,,,
argumentation,standard,1,2,0.11008066,model-human,TED_004,argumentation,Qwen vs Luiza,,,Luiza,Qwen,36,6,,,,,,,
argumentation,soft,1,2,0.12521672,model-human,TED_004,argumentation,Qwen vs Luiza,,,Luiza,Qwen,36,6,,,,,,,
argumentation,standard,1,1,0.19113302,model-human,TED_004,argumentation,Qwen vs Sara,,,Sara,Qwen,33,6,,,,,,,
argumentation,soft,1,1,0.18881983,model-human,TED_004,argumentation,Qwen vs Sara,,,Sara,Qwen,33,6,,,,,,,
argumentation,standard,1,2,0.14979708,model-human,TED_004,argumentation,Qwen vs Sara,,,Sara,Qwen,33,6,,,,,,,
argumentation,soft,1,2,0.14715809,model-human,TED_004,argumentation,Qwen vs Sara,,,Sara,Qwen,33,6,,,,,,,
argumentation,standard,1,1,0.13733113,model-human,TED_004,argumentation,Gemma vs Luiza,,,Luiza,Gemma,36,6,,,,,,,
argumentation,soft,1,1,0.15356481,model-human,TED_004,argumentation,Gemma vs Luiza,,,Luiza,Gemma,36,6,,,,,,,
argumentation,standard,1,2,0.11485064,model-human,TED_004,argumentation,Gemma vs Luiza,,,Luiza,Gemma,36,6,,,,,,,
argumentation,soft,1,2,0.12956464,model-human,TED_004,argumentation,Gemma vs Luiza,,,Luiza,Gemma,36,6,,,,,,,
argumentation,standard,1,1,0.18930954,model-human,TED_004,argumentation,Gemma vs Sara,,,Sara,Gemma,33,6,,,,,,,
argumentation,soft,1,1,0.18685132,model-human,TED_004,argumentation,Gemma vs Sara,,,Sara,Gemma,33,6,,,,,,,
argumentation,standard,1,2,0.14869672,model-human,TED_004,argumentation,Gemma vs Sara,,,Sara,Gemma,33,6,,,,,,,
argumentation,soft,1,2,0.14589703,model-human,TED_004,argumentation,Gemma vs Sara,,,Sara,Gemma,33,6,,,,,,,
argumentation,standard,1,1,0.23283154,model-human,TED_005,argumentation,Mistral vs Luiza,,,Luiza,Mistral,24,9,,,,,,,
argumentation,soft,1,1,0.30703908,model-human,TED_005,argumentation,Mistral vs Luiza,,,Luiza,Mistral,24,9,,,,,,,
argumentation,standard,1,2,0.18435419,model-human,TED_005,argumentation,Mistral vs Luiza,,,Luiza,Mistral,24,9,,,,,,,
argumentation,soft,1,2,0.25791842,model-human,TED_005,argumentation,Mistral vs Luiza,,,Luiza,Mistral,24,9,,,,,,,
argumentation,standard,1,1,0.20258045,model-human,TED_005,argumentation,Mistral vs Sara,,,Sara,Mistral,19,9,,,,,,,
argumentation,soft,1,1,0.25739527,model-human,TED_005,argumentation,Mistral vs Sara,,,Sara,Mistral,19,9,,,,,,,
argumentation,standard,1,2,0.11194742,model-human,TED_005,argumentation,Mistral vs Sara,,,Sara,Mistral,19,9,,,,,,,
argumentation,soft,1,2,0.164936,model-human,TED_005,argumentation,Mistral vs Sara,,,Sara,Mistral,19,9,,,,,,,
argumentation,standard,1,1,0.29933017,model-human,TED_005,argumentation,Qwen vs Luiza,,,Luiza,Qwen,24,6,,,,,,,
argumentation,soft,1,1,0.32356215,model-human,TED_005,argumentation,Qwen vs Luiza,,,Luiza,Qwen,24,6,,,,,,,
argumentation,standard,1,2,0.2803229,model-human,TED_005,argumentation,Qwen vs Luiza,,,Luiza,Qwen,24,6,,,,,,,
argumentation,soft,1,2,0.30394584,model-human,TED_005,argumentation,Qwen vs Luiza,,,Luiza,Qwen,24,6,,,,,,,
argumentation,standard,1,1,0.24747628,model-human,TED_005,argumentation,Qwen vs Sara,,,Sara,Qwen,19,6,,,,,,,
argumentation,soft,1,1,0.24536842,model-human,TED_005,argumentation,Qwen vs Sara,,,Sara,Qwen,19,6,,,,,,,
argumentation,standard,1,2,0.17695779,model-human,TED_005,argumentation,Qwen vs Sara,,,Sara,Qwen,19,6,,,,,,,
argumentation,soft,1,2,0.17469883,model-human,TED_005,argumentation,Qwen vs Sara,,,Sara,Qwen,19,6,,,,,,,
argumentation,standard,1,1,0.22721124,model-human,TED_005,argumentation,Gemma vs Luiza,,,Luiza,Gemma,24,10,,,,,,,
argumentation,soft,1,1,0.26781583,model-human,TED_005,argumentation,Gemma vs Luiza,,,Luiza,Gemma,24,10,,,,,,,
argumentation,standard,1,2,0.22161043,model-human,TED_005,argumentation,Gemma vs Luiza,,,Luiza,Gemma,24,10,,,,,,,
argumentation,soft,1,2,0.25975108,model-human,TED_005,argumentation,Gemma vs Luiza,,,Luiza,Gemma,24,10,,,,,,,
argumentation,standard,1,1,0.26080674,model-human,TED_005,argumentation,Gemma vs Sara,,,Sara,Gemma,19,10,,,,,,,
argumentation,soft,1,1,0.25854993,model-human,TED_005,argumentation,Gemma vs Sara,,,Sara,Gemma,19,10,,,,,,,
argumentation,standard,1,2,0.20154858,model-human,TED_005,argumentation,Gemma vs Sara,,,Sara,Gemma,19,10,,,,,,,
argumentation,soft,1,2,0.19916576,model-human,TED_005,argumentation,Gemma vs Sara,,,Sara,Gemma,19,10,,,,,,,
argumentation,standard,1,1,0.15335262,model-human,TED_006,argumentation,Mistral vs Luiza,,,Luiza,Mistral,25,25,,,,,,,
argumentation,soft,1,1,0.17288876,model-human,TED_006,argumentation,Mistral vs Luiza,,,Luiza,Mistral,25,25,,,,,,,
argumentation,standard,1,2,0.08677906,model-human,TED_006,argumentation,Mistral vs Luiza,,,Luiza,Mistral,25,25,,,,,,,
argumentation,soft,1,2,0.10342866,model-human,TED_006,argumentation,Mistral vs Luiza,,,Luiza,Mistral,25,25,,,,,,,
argumentation,standard,1,1,0.2034598,model-human,TED_006,argumentation,Mistral vs Sara,,,Sara,Mistral,24,25,,,,,,,
argumentation,soft,1,1,0.22544205,model-human,TED_006,argumentation,Mistral vs Sara,,,Sara,Mistral,24,25,,,,,,,
argumentation,standard,1,2,0.1367842,model-human,TED_006,argumentation,Mistral vs Sara,,,Sara,Mistral,24,25,,,,,,,
argumentation,soft,1,2,0.15486145,model-human,TED_006,argumentation,Mistral vs Sara,,,Sara,Mistral,24,25,,,,,,,
argumentation,standard,1,1,0.22864491,model-human,TED_006,argumentation,Qwen vs Luiza,,,Luiza,Qwen,25,5,,,,,,,
argumentation,soft,1,1,0.2277484,model-human,TED_006,argumentation,Qwen vs Luiza,,,Luiza,Qwen,25,5,,,,,,,
argumentation,standard,1,2,0.20562077,model-human,TED_006,argumentation,Qwen vs Luiza,,,Luiza,Qwen,25,5,,,,,,,
argumentation,soft,1,2,0.20463508,model-human,TED_006,argumentation,Qwen vs Luiza,,,Luiza,Qwen,25,5,,,,,,,
argumentation,standard,1,1,0.27362686,model-human,TED_006,argumentation,Qwen vs Sara,,,Sara,Qwen,24,5,,,,,,,
argumentation,soft,1,1,0.27080137,model-human,TED_006,argumentation,Qwen vs Sara,,,Sara,Qwen,24,5,,,,,,,
argumentation,standard,1,2,0.28349125,model-human,TED_006,argumentation,Qwen vs Sara,,,Sara,Qwen,24,5,,,,,,,
argumentation,soft,1,2,0.28074205,model-human,TED_006,argumentation,Qwen vs Sara,,,Sara,Qwen,24,5,,,,,,,
argumentation,standard,1,1,0.29280585,model-human,TED_006,argumentation,Gemma vs Luiza,,,Luiza,Gemma,25,8,,,,,,,
argumentation,soft,1,1,0.29131645,model-human,TED_006,argumentation,Gemma vs Luiza,,,Luiza,Gemma,25,8,,,,,,,
argumentation,standard,1,2,0.25478846,model-human,TED_006,argumentation,Gemma vs Luiza,,,Luiza,Gemma,25,8,,,,,,,
argumentation,soft,1,2,0.2532786,model-human,TED_006,argumentation,Gemma vs Luiza,,,Luiza,Gemma,25,8,,,,,,,
argumentation,standard,1,1,0.3931377,model-human,TED_006,argumentation,Gemma vs Sara,,,Sara,Gemma,24,8,,,,,,,
argumentation,soft,1,1,0.3892417,model-human,TED_006,argumentation,Gemma vs Sara,,,Sara,Gemma,24,8,,,,,,,
argumentation,standard,1,2,0.3813731,model-human,TED_006,argumentation,Gemma vs Sara,,,Sara,Gemma,24,8,,,,,,,
argumentation,soft,1,2,0.37674695,model-human,TED_006,argumentation,Gemma vs Sara,,,Sara,Gemma,24,8,,,,,,,
argumentation,standard,1,1,0.24990267,model-human,TED_007,argumentation,Mistral vs Luiza,,,Luiza,Mistral,39,15,,,,,,,
argumentation,soft,1,1,0.2578553,model-human,TED_007,argumentation,Mistral vs Luiza,,,Luiza,Mistral,39,15,,,,,,,
argumentation,standard,1,2,0.19960761,model-human,TED_007,argumentation,Mistral vs Luiza,,,Luiza,Mistral,39,15,,,,,,,
argumentation,soft,1,2,0.20614296,model-human,TED_007,argumentation,Mistral vs Luiza,,,Luiza,Mistral,39,15,,,,,,,
argumentation,standard,1,1,0.25903815,model-human,TED_007,argumentation,Mistral vs Sara,,,Sara,Mistral,38,15,,,,,,,
argumentation,soft,1,1,0.30298018,model-human,TED_007,argumentation,Mistral vs Sara,,,Sara,Mistral,38,15,,,,,,,
argumentation,standard,1,2,0.23244512,model-human,TED_007,argumentation,Mistral vs Sara,,,Sara,Mistral,38,15,,,,,,,
argumentation,soft,1,2,0.27260703,model-human,TED_007,argumentation,Mistral vs Sara,,,Sara,Mistral,38,15,,,,,,,
argumentation,standard,1,1,0.30608386,model-human,TED_007,argumentation,Qwen vs Luiza,,,Luiza,Qwen,39,16,,,,,,,
argumentation,soft,1,1,0.34133375,model-human,TED_007,argumentation,Qwen vs Luiza,,,Luiza,Qwen,39,16,,,,,,,
argumentation,standard,1,2,0.27924246,model-human,TED_007,argumentation,Qwen vs Luiza,,,Luiza,Qwen,39,16,,,,,,,
argumentation,soft,1,2,0.31075162,model-human,TED_007,argumentation,Qwen vs Luiza,,,Luiza,Qwen,39,16,,,,,,,
argumentation,standard,1,1,0.26337433,model-human,TED_007,argumentation,Qwen vs Sara,,,Sara,Qwen,38,16,,,,,,,
argumentation,soft,1,1,0.30850095,model-human,TED_007,argumentation,Qwen vs Sara,,,Sara,Qwen,38,16,,,,,,,
argumentation,standard,1,2,0.21044964,model-human,TED_007,argumentation,Qwen vs Sara,,,Sara,Qwen,38,16,,,,,,,
argumentation,soft,1,2,0.25104117,model-human,TED_007,argumentation,Qwen vs Sara,,,Sara,Qwen,38,16,,,,,,,
argumentation,standard,1,1,0.33974665,model-human,TED_007,argumentation,Gemma vs Luiza,,,Luiza,Gemma,39,20,,,,,,,
argumentation,soft,1,1,0.36667854,model-human,TED_007,argumentation,Gemma vs Luiza,,,Luiza,Gemma,39,20,,,,,,,
argumentation,standard,1,2,0.25156772,model-human,TED_007,argumentation,Gemma vs Luiza,,,Luiza,Gemma,39,20,,,,,,,
argumentation,soft,1,2,0.2734658,model-human,TED_007,argumentation,Gemma vs Luiza,,,Luiza,Gemma,39,20,,,,,,,
argumentation,standard,1,1,0.42739874,model-human,TED_007,argumentation,Gemma vs Sara,,,Sara,Gemma,38,20,,,,,,,
argumentation,soft,1,1,0.4583575,model-human,TED_007,argumentation,Gemma vs Sara,,,Sara,Gemma,38,20,,,,,,,
argumentation,standard,1,2,0.37648702,model-human,TED_007,argumentation,Gemma vs Sara,,,Sara,Gemma,38,20,,,,,,,
argumentation,soft,1,2,0.4036008,model-human,TED_007,argumentation,Gemma vs Sara,,,Sara,Gemma,38,20,,,,,,,
argumentation,standard,1,1,0.037381113,model-human,TED_008,argumentation,Mistral vs Luiza,,,Luiza,Mistral,30,19,,,,,,,
argumentation,soft,1,1,0.04429108,model-human,TED_008,argumentation,Mistral vs Luiza,,,Luiza,Mistral,30,19,,,,,,,
argumentation,standard,1,2,-0.013932586,model-human,TED_008,argumentation,Mistral vs Luiza,,,Luiza,Mistral,30,19,,,,,,,
argumentation,soft,1,2,-0.009036183,model-human,TED_008,argumentation,Mistral vs Luiza,,,Luiza,Mistral,30,19,,,,,,,
argumentation,standard,1,1,0.049829304,model-human,TED_008,argumentation,Mistral vs Sara,,,Sara,Mistral,28,19,,,,,,,
argumentation,soft,1,1,0.053191543,model-human,TED_008,argumentation,Mistral vs Sara,,,Sara,Mistral,28,19,,,,,,,
argumentation,standard,1,2,0.006299794,model-human,TED_008,argumentation,Mistral vs Sara,,,Sara,Mistral,28,19,,,,,,,
argumentation,soft,1,2,0.007434666,model-human,TED_008,argumentation,Mistral vs Sara,,,Sara,Mistral,28,19,,,,,,,
argumentation,standard,1,1,0.34602505,model-human,TED_008,argumentation,Qwen vs Luiza,,,Luiza,Qwen,30,12,,,,,,,
argumentation,soft,1,1,0.3984713,model-human,TED_008,argumentation,Qwen vs Luiza,,,Luiza,Qwen,30,12,,,,,,,
argumentation,standard,1,2,0.36617684,model-human,TED_008,argumentation,Qwen vs Luiza,,,Luiza,Qwen,30,12,,,,,,,
