sample_id	file_name	source	split	original_id	source_record_key	story_char_len	story_word_len	notes	story	moral
STORAL_011	STORAL_011.txt	STORAL	train	846	train_846	973	180		"One day, swami vivekananda was returning from temple of ma durga. Path was very narrow as on one side it was covered by large water tank and on other side there was a high wall. On the path swami vivekananda saw a number of monkeys and those monkeys were not allowing him to pass by the path and whenever swami vivekananda would take a step forward, those monkeys would make a lot of noise and make angry face, showing their anger by shrieking near his feet. As swami vivekananda took a step forward, monkeys got close to him. Swami ji began to run and monkey started chasing him. Faster swami ji ran, bolder monkey got and tried to catch him and bite him. A time came when swami ji felt that it would be impossible to escape, just then an old sanyasi called out and said, ""Face them..!!""Those words brought swami vivekananda to senses and he stopped running. Swami ji turned back to boldly face those monkeys. As soon as swami ji did that, those monkey fell back and left."	Continue your struggle and you will emerge as winner.
STORAL_012	STORAL_012.txt	STORAL	valid	175	valid_175	1200	217		"Once there was a puppy and a kitten who lived together in their owners' house. They would often go out into the garden to look for snails. When they found some, the puppy and kitten would play with them as though they were balls. One day, they decided to put on a big tennis tournament, so they called all their friends around, and formed teams. However, just when they were about to start, the snails refused to be treated like tennis balls. So everyone went running, looking for some tennis balls for their tournament. One animal brought a stone, but they could see that it didn't roll. Another brought an orange; the orange rolled but it didn't bounce. Someone else brought a frog. There was no doubt that the frog bounced, but unfortunately it didn't roll. Another animal came with a football, but that was too big. Then someone found a smaller ball, but it was black, and no one could see it very well. Finally, they found a small tennis ball. It was round, bouncy, green, and easy to see; and so began the tournament. I can't tell you who won, because after so much time spent searching, the animals had tired themselves out, and everyone who started playing was soon lying asleep on the court!"	Teaching very young children about different sizes and shapes.
STORAL_013	STORAL_013.txt	STORAL	train	992	train_992	1773	330		"A long time ago, people lived happily under the rule of king shoelong. The kingdom people had very prosperous life with abundance of wealth and no misfortune. One day king decided to travel and visit historical places and pilgrim centers at far away places. He decided to travel by foot and interact with people on the way. People of his kingdom were happy to meet their king and were so proud to know that their king was so kind and good heart-ed person. After completing his travel, he was quiet happy that people in his kingdom are living good life. However he regretted one thing, it was the intolerable pain felt in his feet after such long trip he had been to for first time in his life. He complained to his ministers that roads were not comfortable to walk. The path he walked all the way was stony and he couldn't tolerate the pain he felt in his feet. King got worried about his people who used to walk on those roads. So, he ordered to cover the roads with leather so that people feel comfortable walking on roads. This thought of king was kind and for the betterment and happiness of the people. As the ministers heard the order, they were stunned!! As this order would destroy the life of thousands of animals to get sufficient leather and also it would cost a huge amount of money also. A wise man from the ministry came to the king and said that he had another idea. King asked his minister about the idea. So minister said "" Why do you want to kill so many animals to cover the road with leather? rather, you can just have a piece of leather cut in appropriate shape to cover your feet? ""The king was very much surprised by his suggestion and applauded the minister. He ordered for a pair of leather shoes for him and requested the countrymen to wear shoes."	We curse and blame the things in our surroundings and never understand that we need a change in us.
STORAL_014	STORAL_014.txt	STORAL	valid	297	valid_297	1974	385		"Once in dragon land, there was a young dragon name brad. There was a tradition in dragon land that dragons would have to chose his side and become either a dragon of light or darkness. When time comes each dragon had to chose his side and join army. All dragons would chose his side and train for years before big change but brad was undecided and time was running out. At dawn his wings would be changed for life. Both group of dragons had hatred for each other and once wings change they will remain like that forever and dragon have to had hatred for other for rest of his life. Because if this brad went to forest to think and in hope to find answer. While sitting there in silence he saw the beauty of night. Beautiful white full moon shimmering, cool and soft wind blowing, night full of stars. For nothing in the world did brad want to become a dragon of light in order to hate all that wonder and he felt his wings slowly begin to dye into the color of the night. As time went by, night was losing its strength and first light of dawn was making its way. Brad loved that time of day and gentle first ray of sun on his face. Brad didn't want to hate it either. Brad felt sad and tears flooded his eyes. Before brad wings color would change for final, he flew deep into lake to find peace and then flew up high into sky as high as it could, in order to escape its fate. When he had flown so high that the cold prevented him from moving his wings, he opened his mouth to spit out a great flame, as if to spend it completely, to never have it again but instead of fire, a thin layer of frost came out of his mouth and covered fields below. Only then he discovered that he wouldn't be a dragon of just light or darkness but now his one wing belong to moon and one wing belong to sun. After attaining final form. Brad would not decorate fields with his frosty breath and would remind world that its not necessary to chose between day and night when you don't want to hate."	It's not necessary to see things as black and white or chose sides. When we don't want to hate. Having peace with ourselves is best way to live.
STORAL_015	STORAL_015.txt	STORAL	train	712	train_712	2071	395		"In china, once lived a man named lee. He was wise, kind and very friendly. Once he organized a banquet and invited all his friends. They all had good time and returned home. Some days later he went to meet one of his close friends. When lee saw him, he realized that his friend seems to be in some trouble. Lee asked him, ""What's matter? why you look so unwell?""His friend replied, ""It was all because of banquet held at your home. at banquet when we were having drink, you proposed a toast to me and when we raised our glasses just then I noticed that there was small snake lying in wine glass.since then, I am not able to feel well. I lay in bed unable to do anything. I feel that because of that snake in wine something has happened to my health.""Lee was puzzled to hear this. He asked his friend to take care and went back to home and look into matter. When lee checked about everything, at last he went to hall, where banquet was held. There he looked around, he realized the cause of his friend's sickness. Lee went back and once again invited his friend to his home. His friend refused. Lee knew cause of his sickness and insisted him to come so that he can help him get well soon. Friend agreed and went to his home with him. When they reached lee home, lee asked his friend to come with him to same room where banquet was held. There lee had laid table at same place, where it was kept on day of banquet. Now, lee asked his friend to again have a drink with him there. Glasses were filled with wine and then he raised roast to his friend. When they raised toast, lee pointed to shade of bow in glass and asked his friend to see. His friend observed nervously and said, ""It's same snake that I saw last time.""Lee laughed and kept glass back and then removed bow that was hung on wall of his room with a painted snake on it. And again asked his friend to see through glass and asked, ""Could you snake anymore?""His friend was surprised to find that snake was no longer in wine. Since whole truth came out, his friend recovered from his prolonged illness right away."	One should not be too suspicious unnecessarily because some times our negative thoughts becomes reason for our sickness.
STORAL_016	STORAL_016.txt	STORAL	test	257	test_257	2096	357		"Once a hunter was passing through a jungle and there he found a pair of beautiful parrots. Hunter at once set up a trap and caught those parrots. Later he took them to king and presented them as a gift to king. King was very happy to receive such a gift. King ordered his servants to put parrots in golden cage. Servants were ordered to take care of those parrots day and night. At king's palace parrots were fed with most delicious fruits and servants ran left and right in order to keep parrots comfortable. Even young prince came to play with parrots and treated them with utmost love. Young parrot was very happy with special treatment and said to his older brother, ""Brother, we are so lucky.""Older parrot replied, ""Yes, we were lucky to be bought here.""""Our lives in palace is so comfortable and here we have everything we need and loved by all"", exclaimed young parrot with joy. After some months, hunter returned with another present. This time it was a magnificent black monkey and offered it to king as present. Soon monkey became main attraction and parrots were neglected. Young parrot became sad and depressed. One day he said to his older brother, ""This monkey destroyed our perfect world and because of him nobody care and look for us anymore. no one even look at us anymore.""Older parrot smiled and replied, ""Don't worry little brother. nothing in world is permanent and you will see that things will change soon.""Soon, monkey started to create trouble in palace and then one day little prince got so afraid of monkey that he ordered his servants to sent that monkey back into jungle. Next day, monkey was sent to jungle and again parrots again became main attraction of palace and every one started paying attention to them and loved them like before. Young parrot became happy and exclaimed, ""Our happy days have returned.""Listening to this, older parrot told his younger brother, ""Time never stays same. therefore, you should never get depressed because of unfavorable time.""Finally, younger brother realized that he should never lose his patience under unfavorable conditions."	"Nothing is permanent in our lives, everything changes with time. Therefore, one should not lose hope for better future."
STORAL_017	STORAL_017.txt	STORAL	test	292	test_292	2115	371		"Once a neighbor came to nasruddin with his problem and lamented, ""I m really troubled. I have a small house and its getting difficult to fit my family consisting of my wife, three kids and mother with me in that small house. you are wise man. do you have any advice for me??""Nasrudin replied, ""Yes. I can help you but first tell me do you have any chicken in your yards?"" Neighbor replied, ""Yes, there are ten chickens.""Nasrudin asked his neighbour to put them in his house. Hearing this neighbor replied, ""But, I just told you that our house is already cramped.""Nasrudin still asked him to keep all those chicken in the house. Desperate to to find a solution man followed nasrudin's advice. Next day neighbor again came to nasrudin and said, ""Things got worse with chickens in house.. because of this family is getting more troubled living in that house.""Nasrudin said, ""You have a donkey right?? now take that donkey of yours and keep him there in the house.""Neighbor objected but nasrudin somehow convinced him to do it. Next day neighbor again came to nasrudin even more distressed and said, ""Now, my home is even more crowded. with all these animals in the house there is not even any place to move.""Nasrudin questioned, ""Do you have any other animal in your yard??"" Neighbor replied, ""Yes, we have a goat.""Nasrudin advised him to take that goat also in that small house. This time neighbor refused to do so but even this time nasrudin convinced him to put even goat in that house. Next day neighbor came back to nasrudin and exclaimed, ""Everyone in family is really upset with me. everyone is complaining of lack of space. whatever you said to do is making our life more miserable.""This time nasrudin said, ""Don't worry everything will be fine. now take all the animal outside your house and keep them in yard.""Neighbor did as advised. Next day he dropped by nasrudin and remarked,""Nasrudin your plan worked like charm. now with all those animals out of house, it feels more spacious and all of us can't help but being pleased and uncomplaining about space in house. am very thankful to you for all the help."""	We should learn to manage with resources we have.
STORAL_018	STORAL_018.txt	STORAL	train	865	train_865	2195	417		"Once an old man wanted his son to learn about secret of happiness so he sent his son far away to meet a man who was known for being wisest man. Son obeyed his father. It took him weeks to reach that place. There young man saw a very big and beautiful castle on mountain top. After entering castle, while moving toward the main hall of castle he saw lots of people. Some were tradesmen, some playing soft music, some were conversing in the corner. Young man was surprised to see all this. He saw that wise men conversed with everyone who came to meet him. Young man had to wait for hours for his turn to meet wise man. When young man meet wise man and told him about his reason to come there. Wise man listened to him and said, ""I will answer you later.. meanwhile you look around castle and return after 3 hours.""Wise man handed a teaspoon with some drops of oil in it and said, ""As you wander around carry this spoon with you without dropping or spilling any oil from spoon.""Young man agreed and went with that spoon. After 3 hours he came back to wise man. Wise man asked, ""Well, my dear.. tell me did you saw beautiful carving on the walls of castle?? did you saw beautiful garden??""Boy hesitated at first but then confessed that he observed nothing as he his only concern was to save that oil from spilling from spoon, which was given to him by wise man. Wise man said, ""Now, again go around the castle carrying this spoon with oil but this time see and enjoy beauty of castle too..""Young man again took that spoon and went to explore that castle. This time he observed all the art work, gardens, mountains and beauty of flowers. Upon returning to the wise man, he related in detail everything he had seen. Wise smiled and said, ""I am happy that you liked what you saw but tell me one thing.. where is the oil which you were carrying in this spoon??""Young man almost forgot about oil and spoon. When he saw that he found that all the oil was gone from the spoon while he was busy admiring beauty.. ""Well, young man.. there is only one advice I can give you.. secret of happiness is to see all the beauty and marvels of world but never to forget the drops of oil on the spoon"", said wise man."	Secret of happiness is to enjoy life but never to forget our responsibility.
STORAL_019	STORAL_019.txt	STORAL	valid	264	valid_264	2276	420		"Once a camel and fox became very good friends. They would look for food together and have fun. One day while looking for food they saw a farm but they had to cross river to reach there. Camel knew how to swim but fox didn't. So camel said, ""You can climb on my back and I will carry you across river..""Fox was happy and he hopped on camel's back. Soon they both crossed river and made their way to farm. Arriving at farm, fox caught a chicken while camel dug up some fresh vegetables. Fox quickly gobbled up his chicken but camel was slow with eating his vegetables. Despite seeing that fox said, ""My friends, when I finish eating, I am accustomed to singing.. now I shall sing..""Camel got scared and said, ""Don't sing yet.. I haven't finished eating vegetables and if you sing now farmer will hear you and we will be in trouble..""Fox didn't listen to him and started singing, hearing it farmer came out running with a very large stick.. Fox was small and quickly ran away but camel was slow and received many blows on his legs and back before being able to escape from farmer. When camel came back to river, fox was waiting for him. Camel was very upset with him and questioned, ""Why did you sang, when I was still eating my food.?""Fox replied, ""Because it's a custom.. now let me get on your back so that we can go back..""Camel didn't said anything more and let him climb on his back. Camel slowly started to walk across river and as soon as they reached half way in river, camel stopped and said, ""When I am done eating, I am accustomed to take bath..""Listening to this fox got scared and they were in middle of river where water was deep and fox could have easily drowned. He pleaded, ""Please.. don't take bath here. if you take bath I will be drowned in river..""Camel ignored him and lowered his back deep into river until the fox lost her grip on his back and began to splash around helplessly against the fast current. ""Help me..!! help me..!!"", cried fox. Camel got up and said, ""Now you understand?? are you sorry that because of your selfishness I got beaten by farmer..""Fox cried, ""Yes.. yes.. I have realized my mistake.. now please forgive me..""Seeing this camel felt pity and swam the rest of the way across the river and climbed up the bank onto the warm grass."	One should not act selfish and know that if you do wrong with someone then other might do wrong with you.. So be careful about how you act with others. .
STORAL_020	STORAL_020.txt	STORAL	train	874	train_874	2348	450		"Once a monk liver near a river. Just across street lived a lady alone in her home. Monk noticed that larger number of men visited her and due to this monk decided to speak to her. One day when lady was returning home, monk met her in way and said, ""You are a great sinner. what you do reveals your lack of respect towards god. don't you ever think what will happen to you after you die??""Poor lady was shaken by words of monk and felt sorry for what she did and prayed to god out of genuine repentance.   she prayed to god, ""I feel really terrible. please forgive me for my doing and please help me find another means of earning for living.""Week passed by but she was not able to find any another means of earning and had to go back to prostitution. When monk saw again men going to that lady house he felt annoyed by the thought that his talks had no effect on her. Monk thought to himself, ""From now on, I will keep the count of number of men going in that house until sinner dies."" So from that day monk used to keep eye on that house and would add a stone  to keep count to men going in with each man going in. On other hand every time a man come, lady would ask for god's forgiveness. After sometime again that monk met that lady and seeing her monk called her and pointed toward pile of stones, ""You see that pile of stone?? each stone represents mortal sin committed by you. I say you once more.. do not do that sin again..!!""Women was trembled to see that pile of stone. She went home and wept in repentance and prayed to god, ""O lord, when will you free me from this wretched life?""Her prayers were listened and same night angel of death came carried her off and also took monk living across with him. Lady soul was sent straight up to heaven and monk's soul was sent to hell. When saw what's happening he cried out, ""Is this your justice? I spent whole life in your devotion and poverty and yet I am carried off to hell and that lady who sinned all her life was borne aloft up to heaven..""God replied, ""God's purpose are always just. you thought that devoting yourself to god means you can judge other's. because of this while you filled your heart with impurity of other's sin.that lady shed away her sin with pure repentance and her soul was so light that she went to heaven and you soul weighed down with stones is too heavy to lift.."""	We should not judge other's. We should just be good and look for good in other's and devote our life to god with true heart.
										
						Total words: 	4983			
